count	reward_sum	squared_reward_sum	length
200	-1.8407831096763942	10038.819193846937	530
201	-83.48640324816697	10012.435300694407	193
202	-23.705648805269846	10025.269547469332	364
203	-79.93103876322351	10008.501793506286	142
204	-7.580648312452823	10028.230488635149	565
205	-84.18617016907179	10010.356997591905	164
206	-90.12457773589469	10006.550053521334	270
207	-74.84211461529387	10010.324698214326	155
208	-87.9050916084374	10006.661456760843	156
209	-52.17992240580839	10026.338728252977	420
210	-87.68188230048176	10009.639544930635	171
211	-88.18612549850238	10011.368450398139	228
212	-67.35935095186014	34.51496215540159	2000
213	-79.44634039645192	10013.838002504112	334
214	-98.51419247842054	10012.01465841997	446
215	-100.28133268038101	10017.642317276717	568
216	35.606243054605955	10055.13100032232	485
217	-57.3813232241575	10018.42351824143	195
218	-94.19836606090865	10008.314889994743	284
219	-19.02323627810584	10026.183091227023	469
220	19.405090873938292	10045.506133055416	567
221	19.19033118732557	38.03823133586322	2000
222	-10.949324247492015	10032.98804989427	398
223	-94.44642090228213	10013.041863690776	255
224	-55.90727082020274	10016.3295260677	238
225	-80.17619907935637	10007.992280962448	151
226	-83.8761847048298	10005.45737419618	211
227	-19.449270459094492	10029.46400642619	354
228	-49.2583055426132	10016.903762811497	282
229	-57.66614587208222	10020.22384159712	211
230	109.5996586384918	10069.18306481855	936
231	-76.14161740399564	10008.578835187183	148
232	-40.85281234957503	10022.600200053956	266
233	-168.48649118486384	10035.44070322832	1420
234	-88.65607076583768	10007.194870471632	136
235	-87.86644888641887	10004.166908106794	155
236	-30.63815278825915	10024.608618847944	400
237	-25.82374125907218	10021.315328969826	439
238	-65.0687916677486	10011.045625007997	367
239	131.60511733534864	10079.838325633227	956
240	-88.77641705570684	10012.278337708505	187
241	-82.70178988799734	10010.091208696542	186
242	-38.23299406153761	10025.976893132933	272
243	-49.09770556434323	10017.26001082299	255
244	9.06078482724233	10040.53408491477	466
245	308.36777731082884	116.38832646944034	1279
246	-47.1267333639691	10016.312749071172	470
247	-90.42791024423444	10006.031596895353	174
248	-90.7048147416552	10005.892241464928	193
249	-34.89958565444704	10028.013947346146	240
250	-5.9251426441504975	10034.301326589803	434
251	-33.09691767813417	20.869181432447732	2000
252	-58.117582275728324	10015.71221655105	201
253	-50.06902685240204	10013.446827673099	321
254	34.3638679438441	10052.728113353029	600
255	106.1933506388539	10073.32168524917	836
256	-2.0501529755027974	10039.134922688665	519
257	-91.07250904473648	10006.168671148389	253
258	-38.88225995713513	10019.695586094405	458
259	-73.2448413527213	10010.033477121948	160
260	21.046691895857165	10056.627376735716	423
